Place of interest,Type of place,Station location,BiciMAD station,Station location
Centro Cultural Lavapiés (Centro),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Lavapiés nº 34,43 - Jesús y María,Calle Lavapiés nº 34
Centro Cultural Lope de Vega (Puente de Vallecas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Retama nº 5,180 - Méndez Álvaro,Calle Retama nº 5
Centro Cultural Los Rosales (Villaverde),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Sodio nº 1B,235 - Embajadores 191,Calle Sodio nº 1B
Centro Cultural Mercado de Ibiza (Retiro),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Ibiza nº 18,181 - Retiro-Ibiza,Calle Ibiza nº 18
Centro Cultural Meseta de Orcasitas (Usera),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Antonio López nº 129,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Centro Cultural Miguel Hernández (Latina),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
Centro Cultural Moncloa (Moncloa - Aravaca),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Paseo de Moret nº 2,110 - Moncloa,Paseo de Moret nº 2
Centro Cultural Nicolás Salmerón (Chamartín),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Avenida del Doctor Arce nº 45,147 - Doctor Arce 45,Avenida del Doctor Arce nº 45
Centro Cultural Orcasur (Usera),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Antonio López nº 129,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Centro Cultural Príncipe de Asturias (Ciudad Lineal),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Gutierre de Cetina nº 77,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Centro Cultural Puerta de Toledo (Centro),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Glorieta de la Puerta de Toledo nº 1,45 - Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1
"Centro Cultural Rafael Altamira, antes Palacete Quinta del Berro (Salamanca)",Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Sancho Dávila esquina Paseo Marqués de Zafra,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra
Centro Cultural San Francisco La Prensa (Carabanchel),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Glorieta Marqués de Vadillo nº 9,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Centro Cultural San Juan Bautista (Ciudad Lineal),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Condesa de Venadito nº 2,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2
Centro Cultural Sanchinarro (Hortaleza),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Paseo de la Castellana nº 298,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Centro Cultural Sara Montiel (Latina),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
Centro Cultural Usera 1,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Antonio López nº 129,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Centro Cultural Usera 2,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Eugenio Caxes frente al nº 12,222 - Antonio López,Calle Eugenio Caxes frente al nº 12
Centro Cultural Valdebernardo (Vicálvaro),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Hacienda de Pavones nº 342,221 - Pavones,Calle Hacienda de Pavones nº 342
Centro Cultural Zazuar (Villa de Vallecas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Hacienda de Pavones nº 342,221 - Pavones,Calle Hacienda de Pavones nº 342
Centro Cultural el Madroño (Vicálvaro),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Hacienda de Pavones nº 342,221 - Pavones,Calle Hacienda de Pavones nº 342
